,Word,Form,TimePeriod,SentenceLength
0,Ärztinnen,long,2010s,12
1,Ärztinnen,long,2010s,26
2,Ärztinnen,long,2010s,33
3,Ärztinnen,long,2010s,16
4,Ärztinnen,long,2010s,26
5,Ärztinnen,long,2010s,39
6,Ärztinnen,long,2010s,13
7,Ärztinnen,long,2010s,16
8,Ärztinnen,long,2010s,42
9,Ärztinnen,long,2010s,14
10,Ärztinnen,long,2010s,19
11,Ärztinnen,long,2010s,39
12,Ärztinnen,long,2010s,19
13,Ärztinnen,long,2010s,38
14,Ärztinnen,long,2000s,19
15,Ärztinnen,long,2000s,22
16,Ärztinnen,long,2010s,34
17,Ärztinnen,long,2010s,25
18,Ärztinnen,long,2010s,12
19,Ärztinnen,long,2010s,26
20,Ärztinnen,long,2010s,32
21,Ärztinnen,long,2010s,32
22,Ärztinnen,long,2010s,52
23,Ärztinnen,long,2010s,24
24,Ärztinnen,long,2010s,21
25,Ärztinnen,long,2010s,15
26,Ärztinnen,long,2010s,20
27,Ärztinnen,long,2010s,13
28,Ärztinnen,long,2010s,28
29,Ärztinnen,long,2010s,22
30,Ärztinnen,long,2010s,6
31,Ärztinnen,long,2010s,16
32,Ärztinnen,long,2010s,13
33,Ärztinnen,long,2010s,13
34,Ärztinnen,long,2010s,28
35,Ärztinnen,long,2010s,30
36,Ärztinnen,long,2010s,29
37,Ärztinnen,long,2010s,16
38,Ärztinnen,long,2010s,31
39,Ärztinnen,long,2010s,41
40,Ärztinnen,long,2010s,27
41,Ärztinnen,long,2010s,459
42,Ärztinnen,long,2010s,19
43,Ärztinnen,long,2010s,15
44,Ärztinnen,long,2010s,36
45,Ärztinnen,long,2010s,34
46,Ärztinnen,long,2010s,31
47,Ärztinnen,long,2010s,34
48,Ärztinnen,long,2010s,38
49,Ärztinnen,long,2010s,77
50,Ärztinnen,long,2010s,29
51,Ärztinnen,long,2000s,17
52,Ärztinnen,long,2000s,462
53,Ärztinnen,long,2000s,22
54,Ärztinnen,long,2000s,22
55,Ärztinnen,long,2000s,32
56,Ärztinnen,long,2000s,25
57,Ärztinnen,long,2000s,7
58,Ärztinnen,long,2000s,23
59,Ärztinnen,long,2000s,50
60,Ärztinnen,short,2010s,18
61,Ärztinnen,short,2010s,30
62,Ärztinnen,short,2010s,10
63,Ärztinnen,short,2010s,19
64,Ärztinnen,short,2010s,25
65,Ärztinnen,short,2010s,19
66,Ärztinnen,short,2010s,67
67,Ärztinnen,short,2010s,20
68,Ärztinnen,short,2010s,12
69,Ärztinnen,short,2010s,11
70,Ärztinnen,short,2010s,19
71,Ärztinnen,short,2010s,22
72,Ärztinnen,short,2010s,29
73,Ärztinnen,short,2010s,18
74,Ärztinnen,short,2010s,10
75,Ärztinnen,short,2010s,24
76,Ärztinnen,short,2010s,19
77,Ärztinnen,short,2010s,36
78,Ärztinnen,short,2010s,55
79,Ärztinnen,short,2010s,16
80,Ärztinnen,short,2010s,24
81,Ärztinnen,short,2010s,29
82,Ärztinnen,short,2010s,25
83,Ärztinnen,short,2010s,30
84,Ärztinnen,short,2010s,30
85,Ärztinnen,short,2010s,24
86,Ärztinnen,short,2010s,21
87,Ärztinnen,short,2010s,27
88,Ärztinnen,short,2010s,41
89,Ärztinnen,short,2010s,28
90,Ärztinnen,short,2010s,22
91,Ärztinnen,short,2010s,25
92,Ärztinnen,short,2010s,38
93,Ärztinnen,short,2010s,9
94,Ärztinnen,short,2010s,13
95,Ärztinnen,short,2010s,27
96,Ärztinnen,short,2010s,17
97,Ärztinnen,short,2010s,28
98,Ärztinnen,short,2010s,30
99,Ärztinnen,short,2010s,8
100,Ärztinnen,short,2010s,19
101,Ärztinnen,short,2010s,15
102,Ärztinnen,short,2010s,19
103,Ärztinnen,short,2010s,15
104,Ärztinnen,short,2010s,22
105,Ärztinnen,short,2010s,36
106,Ärztinnen,short,2010s,8
107,Ärztinnen,short,2010s,20
108,Ärztinnen,short,2010s,20
109,Ärztinnen,short,2010s,26
110,Ärztinnen,short,2010s,11
111,Ärztinnen,short,2010s,11
112,Ärztinnen,short,2010s,45
113,Ärztinnen,short,2010s,25
114,Ärztinnen,short,2010s,13
115,Ärztinnen,short,2010s,38
116,Ärztinnen,short,2010s,20
117,Ärztinnen,short,2010s,12
118,Ärztinnen,short,2010s,11
119,Ärztinnen,short,2010s,18
120,Ärztinnen,short,2010s,38
121,Ärztinnen,short,2010s,20
122,Ärztinnen,short,2010s,19
123,Ärztinnen,short,2010s,23
124,Ärztinnen,short,2010s,14
125,Ärztinnen,short,2010s,40
126,Ärztinnen,short,2010s,38
127,Ärztinnen,short,2010s,53
128,Ärztinnen,short,2010s,10
129,Ärztinnen,short,2010s,17
130,Ärztinnen,short,2010s,42
131,Ärztinnen,short,2010s,17
132,Ärztinnen,short,2010s,29
133,Ärztinnen,short,2010s,27
134,Ärztinnen,short,2010s,25
135,Ärztinnen,short,2010s,19
136,Ärztinnen,short,2010s,17
137,Ärztinnen,short,2010s,32
138,Ärztinnen,short,2010s,27
139,Ärztinnen,short,2010s,17
140,Ärztinnen,short,2010s,11
141,Ärztinnen,short,2010s,15
142,Ärztinnen,short,2010s,15
143,Ärztinnen,short,2010s,21
144,Ärztinnen,short,2010s,22
145,Ärztinnen,short,2010s,13
146,Ärztinnen,short,2010s,35
147,Ärztinnen,short,2010s,25
148,Ärztinnen,short,2010s,12
149,Ärztinnen,short,2010s,24
150,Ärztinnen,short,2010s,36
151,Ärztinnen,short,2010s,20
152,Ärztinnen,short,2010s,17
153,Ärztinnen,short,2010s,65
154,Ärztinnen,short,2010s,66
155,Ärztinnen,short,2010s,20
156,Ärztinnen,short,2000s,9
157,Ärztinnen,short,2000s,19
158,Ärztinnen,short,2000s,13
159,Lehrerinnen,long,2010s,5
160,Lehrerinnen,long,2010s,19
161,Lehrerinnen,long,2010s,28
162,Lehrerinnen,long,2010s,22
163,Lehrerinnen,long,2010s,10
164,Lehrerinnen,long,2010s,7
165,Lehrerinnen,long,2010s,21
166,Lehrerinnen,long,2010s,8
167,Lehrerinnen,long,2010s,10
168,Lehrerinnen,long,2010s,23
169,Lehrerinnen,long,2010s,30
170,Lehrerinnen,long,2010s,44
171,Lehrerinnen,long,2010s,22
172,Lehrerinnen,long,2010s,16
173,Lehrerinnen,long,2010s,26
174,Lehrerinnen,long,2010s,24
175,Lehrerinnen,long,2010s,61
176,Lehrerinnen,long,2010s,34
177,Lehrerinnen,long,2010s,3
178,Lehrerinnen,long,2010s,12
179,Lehrerinnen,long,2010s,14
180,Lehrerinnen,long,2010s,17
181,Lehrerinnen,long,2000s,38
182,Lehrerinnen,long,2000s,7
183,Lehrerinnen,long,2000s,35
184,Lehrerinnen,long,2000s,21
185,Lehrerinnen,long,2000s,6
186,Lehrerinnen,long,2000s,6
187,Lehrerinnen,long,2000s,32
188,Lehrerinnen,long,2000s,23
189,Lehrerinnen,long,2010s,20
190,Lehrerinnen,long,2010s,28
191,Lehrerinnen,long,2010s,26
192,Lehrerinnen,long,2010s,12
193,Lehrerinnen,long,2010s,21
194,Lehrerinnen,long,2010s,33
195,Lehrerinnen,long,2010s,34
196,Lehrerinnen,long,2010s,18
197,Lehrerinnen,long,2010s,27
198,Lehrerinnen,long,2010s,19
199,Lehrerinnen,long,2010s,34
200,Lehrerinnen,long,2010s,25
201,Lehrerinnen,long,2010s,13
202,Lehrerinnen,long,2010s,9
203,Lehrerinnen,long,2010s,30
204,Lehrerinnen,long,2010s,24
205,Lehrerinnen,long,2010s,30
206,Lehrerinnen,long,2010s,8
207,Lehrerinnen,long,2010s,10
208,Lehrerinnen,long,2010s,16
209,Lehrerinnen,long,2010s,18
210,Lehrerinnen,long,2010s,46
211,Lehrerinnen,long,2010s,30
212,Lehrerinnen,long,2010s,9
213,Lehrerinnen,long,2010s,9
214,Lehrerinnen,long,2010s,15
215,Lehrerinnen,long,2010s,15
216,Lehrerinnen,long,2010s,30
217,Lehrerinnen,long,2010s,19
218,Lehrerinnen,long,2010s,25
219,Lehrerinnen,long,2010s,24
220,Lehrerinnen,long,2010s,27
221,Lehrerinnen,long,2010s,23
222,Lehrerinnen,long,2010s,38
223,Lehrerinnen,long,2010s,36
224,Lehrerinnen,long,2010s,33
225,Lehrerinnen,long,2010s,24
226,Lehrerinnen,long,2010s,16
227,Lehrerinnen,long,2010s,30
228,Lehrerinnen,long,2010s,26
229,Lehrerinnen,long,2010s,21
230,Lehrerinnen,long,2010s,29
231,Lehrerinnen,long,2010s,15
232,Lehrerinnen,long,2010s,20
233,Lehrerinnen,long,2010s,6
234,Lehrerinnen,long,2010s,23
235,Lehrerinnen,long,2010s,19
236,Lehrerinnen,long,2010s,21
237,Lehrerinnen,long,2010s,17
238,Lehrerinnen,long,2010s,28
239,Lehrerinnen,long,2010s,22
240,Lehrerinnen,long,2010s,9
241,Lehrerinnen,long,2010s,23
242,Lehrerinnen,long,2010s,18
243,Lehrerinnen,long,2010s,27
244,Lehrerinnen,long,2010s,6
245,Lehrerinnen,long,2010s,10
246,Lehrerinnen,long,2010s,19
247,Lehrerinnen,long,2010s,24
248,Lehrerinnen,long,2010s,29
249,Lehrerinnen,long,2010s,5
250,Lehrerinnen,long,2010s,12
251,Lehrerinnen,long,2010s,11
252,Lehrerinnen,long,2010s,17
253,Lehrerinnen,long,2010s,21
254,Lehrerinnen,long,2010s,42
255,Lehrerinnen,long,2010s,23
256,Lehrerinnen,long,2010s,47
257,Lehrerinnen,long,2010s,182
258,Lehrerinnen,long,2010s,11
259,Lehrerinnen,long,2010s,21
260,Lehrerinnen,long,2010s,15
261,Lehrerinnen,long,2010s,18
262,Lehrerinnen,long,2010s,20
263,Lehrerinnen,long,2010s,35
264,Lehrerinnen,long,2010s,5
265,Lehrerinnen,long,2010s,64
266,Lehrerinnen,long,2010s,21
267,Lehrerinnen,long,2010s,15
268,Lehrerinnen,long,2010s,17
269,Lehrerinnen,long,2010s,56
270,Lehrerinnen,long,2010s,13
271,Lehrerinnen,long,2010s,14
272,Lehrerinnen,long,2010s,21
273,Lehrerinnen,long,2010s,20
274,Lehrerinnen,long,2010s,32
275,Lehrerinnen,long,2010s,24
276,Lehrerinnen,long,2010s,14
277,Lehrerinnen,long,2010s,23
278,Lehrerinnen,long,2010s,26
279,Lehrerinnen,long,2010s,36
280,Lehrerinnen,long,2010s,22
281,Lehrerinnen,long,2010s,23
282,Lehrerinnen,long,2010s,39
283,Lehrerinnen,long,2010s,42
284,Lehrerinnen,long,2010s,6
285,Lehrerinnen,long,2010s,5
286,Lehrerinnen,long,2010s,27
287,Lehrerinnen,long,2010s,10
288,Lehrerinnen,long,2010s,19
289,Lehrerinnen,long,2010s,25
290,Lehrerinnen,long,2010s,22
291,Lehrerinnen,long,2010s,4
292,Lehrerinnen,long,2010s,38
293,Lehrerinnen,long,2010s,32
294,Lehrerinnen,long,2010s,13
295,Lehrerinnen,long,2010s,9
296,Lehrerinnen,long,2010s,11
297,Lehrerinnen,long,2010s,34
298,Lehrerinnen,long,2010s,16
299,Lehrerinnen,long,2010s,20
300,Lehrerinnen,long,2010s,17
301,Lehrerinnen,long,2010s,32
302,Lehrerinnen,long,2010s,24
303,Lehrerinnen,long,2010s,21
304,Lehrerinnen,long,2010s,12
305,Lehrerinnen,long,2010s,7
306,Lehrerinnen,long,2010s,14
307,Lehrerinnen,long,2010s,24
308,Lehrerinnen,long,2010s,43
309,Lehrerinnen,long,2010s,23
310,Lehrerinnen,long,2010s,8
311,Lehrerinnen,long,2010s,15
312,Lehrerinnen,long,2010s,24
313,Lehrerinnen,long,2010s,21
314,Lehrerinnen,long,2010s,29
315,Lehrerinnen,long,2010s,2
316,Lehrerinnen,long,2010s,30
317,Lehrerinnen,long,2010s,13
318,Lehrerinnen,long,2010s,57
319,Lehrerinnen,long,2010s,17
320,Lehrerinnen,long,2010s,31
321,Lehrerinnen,long,2010s,19
322,Lehrerinnen,long,2010s,12
323,Lehrerinnen,long,2010s,24
324,Lehrerinnen,long,2010s,27
325,Lehrerinnen,long,2010s,14
326,Lehrerinnen,long,2010s,14
327,Lehrerinnen,long,2010s,0
328,Lehrerinnen,long,2010s,11
329,Lehrerinnen,long,2010s,12
330,Lehrerinnen,long,2010s,27
331,Lehrerinnen,long,2010s,18
332,Lehrerinnen,long,2010s,13
333,Lehrerinnen,long,2010s,14
334,Lehrerinnen,long,2010s,26
335,Lehrerinnen,long,2010s,21
336,Lehrerinnen,long,2010s,40
337,Lehrerinnen,long,2010s,24
338,Lehrerinnen,long,2010s,14
339,Lehrerinnen,long,2010s,15
340,Lehrerinnen,long,2010s,17
341,Lehrerinnen,long,2010s,27
342,Lehrerinnen,long,2010s,53
343,Lehrerinnen,long,2010s,21
344,Lehrerinnen,long,2010s,25
345,Lehrerinnen,long,2010s,33
346,Lehrerinnen,long,2010s,5
347,Lehrerinnen,long,2010s,14
348,Lehrerinnen,long,2010s,18
349,Lehrerinnen,long,2010s,11
350,Lehrerinnen,long,2010s,15
351,Lehrerinnen,long,2010s,20
352,Lehrerinnen,long,2010s,13
353,Lehrerinnen,long,2010s,16
354,Lehrerinnen,long,2010s,22
355,Lehrerinnen,long,2010s,15
356,Lehrerinnen,long,2010s,14
357,Lehrerinnen,long,2010s,16
358,Lehrerinnen,long,2010s,36
359,Lehrerinnen,long,2010s,30
360,Lehrerinnen,long,2010s,25
361,Lehrerinnen,long,2010s,14
362,Lehrerinnen,long,2010s,13
363,Lehrerinnen,long,2010s,11
364,Lehrerinnen,long,2010s,14
365,Lehrerinnen,long,2010s,16
366,Lehrerinnen,long,2010s,16
367,Lehrerinnen,long,2010s,32
368,Lehrerinnen,long,2010s,20
369,Lehrerinnen,long,2010s,38
370,Lehrerinnen,long,2010s,14
371,Lehrerinnen,long,2010s,10
372,Lehrerinnen,long,2010s,7
373,Lehrerinnen,long,2010s,30
374,Lehrerinnen,long,2010s,14
375,Lehrerinnen,long,2010s,28
376,Lehrerinnen,long,2010s,49
377,Lehrerinnen,long,2010s,17
378,Lehrerinnen,long,2010s,37
379,Lehrerinnen,long,2010s,35
380,Lehrerinnen,long,2010s,16
381,Lehrerinnen,long,2010s,8
382,Lehrerinnen,long,2010s,12
383,Lehrerinnen,long,2010s,28
384,Lehrerinnen,long,2010s,7
385,Lehrerinnen,long,2010s,20
386,Lehrerinnen,long,2010s,36
387,Lehrerinnen,long,2010s,6
388,Lehrerinnen,long,2010s,22
389,Lehrerinnen,long,2010s,46
390,Lehrerinnen,long,2010s,48
391,Lehrerinnen,long,2010s,27
392,Lehrerinnen,long,2010s,74
393,Lehrerinnen,long,2010s,29
394,Lehrerinnen,long,2010s,25
395,Lehrerinnen,long,2010s,28
396,Lehrerinnen,long,2010s,11
397,Lehrerinnen,long,2010s,10
398,Lehrerinnen,long,2010s,17
399,Lehrerinnen,long,2010s,22
400,Lehrerinnen,long,2010s,9
401,Lehrerinnen,long,2010s,24
402,Lehrerinnen,long,2010s,17
403,Lehrerinnen,long,2010s,24
404,Lehrerinnen,long,2010s,16
405,Lehrerinnen,long,2010s,30
406,Lehrerinnen,long,2010s,14
407,Lehrerinnen,long,2010s,9
408,Lehrerinnen,long,2010s,25
409,Lehrerinnen,long,2010s,16
410,Lehrerinnen,long,2010s,3
411,Lehrerinnen,long,2010s,17
412,Lehrerinnen,long,2010s,15
413,Lehrerinnen,long,2010s,10
414,Lehrerinnen,long,2010s,7
415,Lehrerinnen,long,2010s,32
416,Lehrerinnen,long,2010s,26
417,Lehrerinnen,long,2010s,9
418,Lehrerinnen,long,2010s,2
419,Lehrerinnen,long,2010s,6
420,Lehrerinnen,long,2010s,19
421,Lehrerinnen,long,2010s,45
422,Lehrerinnen,long,2010s,27
423,Lehrerinnen,long,2010s,26
424,Lehrerinnen,long,2010s,34
425,Lehrerinnen,long,2010s,6
426,Lehrerinnen,long,2010s,31
427,Lehrerinnen,long,2010s,28
428,Lehrerinnen,long,2010s,29
429,Lehrerinnen,long,2010s,28
430,Lehrerinnen,long,2010s,24
431,Lehrerinnen,long,2010s,20
432,Lehrerinnen,long,2010s,9
433,Lehrerinnen,long,2010s,30
434,Lehrerinnen,long,2010s,28
435,Lehrerinnen,long,2010s,27
436,Lehrerinnen,long,2010s,15
437,Lehrerinnen,long,2010s,6
438,Lehrerinnen,long,2010s,29
439,Lehrerinnen,long,2010s,55
440,Lehrerinnen,long,2010s,18
441,Lehrerinnen,long,2010s,47
442,Lehrerinnen,long,2010s,31
443,Lehrerinnen,long,2010s,10
444,Lehrerinnen,long,2010s,13
445,Lehrerinnen,long,2010s,11
446,Lehrerinnen,long,2010s,10
447,Lehrerinnen,long,2010s,16
448,Lehrerinnen,long,2010s,15
449,Lehrerinnen,long,2010s,41
450,Lehrerinnen,long,2010s,19
451,Lehrerinnen,long,2010s,37
452,Lehrerinnen,long,2010s,35
453,Lehrerinnen,long,2010s,28
454,Lehrerinnen,long,2010s,8
455,Lehrerinnen,long,2010s,30
456,Lehrerinnen,long,2010s,10
457,Lehrerinnen,long,2010s,11
458,Lehrerinnen,long,2010s,13
459,Lehrerinnen,long,2010s,18
460,Lehrerinnen,long,2010s,38
461,Lehrerinnen,long,2010s,13
462,Lehrerinnen,long,2010s,14
463,Lehrerinnen,long,2010s,36
464,Lehrerinnen,long,2010s,20
465,Lehrerinnen,long,2010s,42
466,Lehrerinnen,long,2010s,41
467,Lehrerinnen,long,2010s,13
468,Lehrerinnen,long,2010s,25
469,Lehrerinnen,long,2010s,15
470,Lehrerinnen,long,2010s,16
471,Lehrerinnen,long,2010s,14
472,Lehrerinnen,long,2010s,8
473,Lehrerinnen,long,2010s,7
474,Lehrerinnen,long,2010s,88
475,Lehrerinnen,long,2010s,88
476,Lehrerinnen,long,2010s,62
477,Lehrerinnen,long,2010s,7
478,Lehrerinnen,long,2000s,28
479,Lehrerinnen,long,2000s,42
480,Lehrerinnen,long,2000s,14
481,Lehrerinnen,long,2000s,38
482,Lehrerinnen,long,2000s,12
483,Lehrerinnen,long,2000s,59
484,Lehrerinnen,long,2000s,17
485,Lehrerinnen,long,2000s,22
486,Lehrerinnen,long,2000s,33
487,Lehrerinnen,long,2000s,21
488,Lehrerinnen,long,2000s,8
489,Lehrerinnen,long,2000s,65
490,Lehrerinnen,long,2000s,5
491,Lehrerinnen,short,2010s,26
492,Lehrerinnen,short,2010s,38
493,Lehrerinnen,short,2010s,16
494,Lehrerinnen,short,2010s,7
495,Lehrerinnen,short,2010s,75
496,Lehrerinnen,short,2010s,10
497,Lehrerinnen,short,2010s,14
498,Lehrerinnen,short,2010s,17
499,Lehrerinnen,short,2010s,9
500,Lehrerinnen,short,2010s,16
501,Lehrerinnen,short,2010s,11
502,Lehrerinnen,short,2010s,42
503,Lehrerinnen,short,2010s,8
504,Lehrerinnen,short,2010s,12
505,Lehrerinnen,short,2010s,29
506,Lehrerinnen,short,2010s,21
507,Lehrerinnen,short,2010s,12
508,Lehrerinnen,short,2010s,43
509,Lehrerinnen,short,2010s,29
510,Lehrerinnen,short,2010s,27
511,Lehrerinnen,short,2010s,12
512,Lehrerinnen,short,2010s,20
513,Lehrerinnen,short,2010s,30
514,Lehrerinnen,short,2010s,20
515,Lehrerinnen,short,2010s,14
516,Lehrerinnen,short,2010s,8
517,Lehrerinnen,short,2010s,23
518,Lehrerinnen,short,2010s,37
519,Lehrerinnen,short,2010s,23
520,Lehrerinnen,short,2010s,19
521,Lehrerinnen,short,2010s,17
522,Lehrerinnen,short,2010s,34
523,Lehrerinnen,short,2010s,16
524,Lehrerinnen,short,2010s,16
525,Lehrerinnen,short,2010s,20
